update,transitions,mean_reward,mean_length,loss,policy_loss,value_loss,entropy,gradient_norm,fruit_rate,wall_rate,self_bite_rate,win_rate
651,666624,0.11376953125,6.015625,-0.013471521437168121,-0.02607530727982521,0.027750317007303238,0.12713724374771118,0.49816781282424927,0.2490234375,0.001953125,0.052734375,0.0
652,667648,0.12460936605930328,6.078125,-0.027519335970282555,-0.042517535388469696,0.03225361555814743,0.11286088824272156,0.46147242188453674,0.275390625,0.0,0.0654296875,0.0
653,668672,0.11474609375,6.328125,0.000314190867356956,-0.014743148349225521,0.03265777602791786,0.1271548867225647,0.5988730192184448,0.2509765625,0.0,0.0537109375,0.0
654,669696,0.12382812798023224,6.75,-0.0031340052373707294,-0.019925622269511223,0.036151304841041565,0.12840354442596436,0.30992093682289124,0.267578125,0.0,0.0498046875,0.0
655,670720,0.11640624701976776,6.5625,-0.012661045417189598,-0.025049980729818344,0.027287974953651428,0.1255052089691162,0.287981778383255,0.2568359375,0.0009765625,0.0595703125,0.0
656,671744,0.11494140326976776,6.515625,0.000495800981298089,-0.01355009526014328,0.03060341253876686,0.12558101117610931,0.41152527928352356,0.2509765625,0.0,0.052734375,0.0
657,672768,0.109375,5.34375,-0.0042252736166119576,-0.01603561080992222,0.026392396539449692,0.1385861039161682,0.41501906514167786,0.24609375,0.0,0.068359375,0.0
658,673792,0.11953124403953552,5.84375,-0.012888040393590927,-0.02380281127989292,0.024129319936037064,0.11498895287513733,0.24172595143318176,0.263671875,0.0,0.0615234375,0.0
659,674816,0.1191406175494194,6.015625,-0.033130764961242676,-0.04526541754603386,0.02690357342362404,0.13171377778053284,0.25853925943374634,0.2626953125,0.0009765625,0.060546875,0.0
660,675840,0.10908202826976776,6.234375,-0.026690268889069557,-0.04018927738070488,0.029545726254582405,0.12738528847694397,0.40575796365737915,0.2392578125,0.0,0.052734375,0.0
661,676864,0.11435547471046448,6.609375,-0.013224535621702671,-0.027864983305335045,0.03186211735010147,0.12906113266944885,0.18033520877361298,0.2490234375,0.0,0.05078125,0.0
662,677888,0.11474609375,6.203125,-0.04239131137728691,-0.05609598755836487,0.03000739961862564,0.12990233302116394,0.33691519498825073,0.2529296875,0.001953125,0.0576171875,0.0
663,678912,0.10517577826976776,5.875,-0.010386317037045956,-0.022269325330853462,0.02640000730752945,0.13169953227043152,0.2804993689060211,0.2314453125,0.0,0.052734375,0.0
664,679936,0.12236328423023224,6.265625,-0.01016028132289648,-0.02357473224401474,0.02929665520787239,0.1233876571059227,0.5794193744659424,0.26171875,0.0009765625,0.0419921875,0.0
665,680960,0.11337890475988388,5.875,0.0012596098240464926,-0.009698278270661831,0.024450942873954773,0.12675833702087402,0.2990013062953949,0.2470703125,0.0,0.05078125,0.0
